dataset,policy,adapter_mode,seed,device,initial_cases,retained_cases,target_capacity,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,total_flips,correct_flips,harmful_flips,net_flip_benefit,adapter_train_loss
wine,trustworthiness_only,logit_residual,42,cpu,124,62,62,0.9629629850387573,0.9629629850387573,0.9629629850387573,0.0,0,0,0,0,0.6151418685913086
wine,trustworthiness_only,logit_residual,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0,0,0,0,0.629280686378479
wine,trustworthiness_only,logit_residual,44,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9629629850387573,0.018518567085266113,1,1,0,1,0.6335074305534363
wine,stratified,none,42,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,0,0,0,0,0.0
wine,stratified,none,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0,0,0,0,0.0
wine,stratified,none,44,cpu,124,62,62,0.9629629850387573,0.9814814925193787,0.9814814925193787,0.0,0,0,0,0,0.0
wine,stratified,nominal_residual_scores,42,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,2,1,1,0,0.5566110610961914
wine,stratified,nominal_residual_scores,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,2,1,1,0,0.5943654179573059
wine,stratified,nominal_residual_scores,44,cpu,124,62,62,0.9629629850387573,0.9814814925193787,1.0,0.018518507480621338,1,1,0,1,0.5316392183303833
wine,stratified,logit_residual,42,cpu,124,62,62,0.9629629850387573,0.9444444179534912,0.9444444179534912,0.0,2,1,1,0,0.6652416586875916
wine,stratified,logit_residual,43,cpu,124,62,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0,0,0,0,0.6865112781524658
wine,stratified,logit_residual,44,cpu,124,62,62,0.9629629850387573,0.9814814925193787,1.0,0.018518507480621338,1,1,0,1,0.6480090618133545
breast_cancer,provenance_bias_coverage,none,42,cpu,398,199,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0,0,0,0,0.0
breast_cancer,provenance_bias_coverage,none,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0,0,0,0,0.0
breast_cancer,provenance_bias_coverage,none,44,cpu,398,199,199,0.9766082167625427,0.9824561476707458,0.9824561476707458,0.0,0,0,0,0,0.0
breast_cancer,provenance_bias_coverage,nominal_residual_scores,42,cpu,398,199,199,0.9707602262496948,0.9707602262496948,0.9590643048286438,-0.011695921421051025,4,1,3,-2,0.3205353617668152
breast_cancer,provenance_bias_coverage,nominal_residual_scores,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9649122953414917,0.01754385232925415,3,3,0,3,0.3229731321334839
breast_cancer,provenance_bias_coverage,nominal_residual_scores,44,cpu,398,199,199,0.9766082167625427,0.9824561476707458,0.9766082167625427,-0.005847930908203125,3,1,2,-1,0.3081003278493881
breast_cancer,provenance_bias_coverage,logit_residual,42,cpu,398,199,199,0.9707602262496948,0.9707602262496948,0.9590643048286438,-0.011695921421051025,2,0,2,-2,0.38324418663978577
breast_cancer,provenance_bias_coverage,logit_residual,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0,0,0,0,0.39508116245269775
breast_cancer,provenance_bias_coverage,logit_residual,44,cpu,398,199,199,0.9766082167625427,0.9824561476707458,0.9766082167625427,-0.005847930908203125,3,1,2,-1,0.3760283887386322
breast_cancer,bias_only,none,42,cpu,398,199,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0,0,0,0,0.0
breast_cancer,bias_only,none,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0,0,0,0,0.0
breast_cancer,bias_only,none,44,cpu,398,199,199,0.9766082167625427,0.9707602262496948,0.9707602262496948,0.0,0,0,0,0,0.0
breast_cancer,bias_only,nominal_residual_scores,42,cpu,398,199,199,0.9707602262496948,0.9707602262496948,0.9590643048286438,-0.011695921421051025,2,0,2,-2,0.30929121375083923
breast_cancer,bias_only,nominal_residual_scores,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9707602262496948,0.023391783237457275,4,4,0,4,0.3236265778541565
breast_cancer,bias_only,nominal_residual_scores,44,cpu,398,199,199,0.9766082167625427,0.9707602262496948,0.9649122953414917,-0.005847930908203125,3,1,2,-1,0.3143993765115738
breast_cancer,bias_only,logit_residual,42,cpu,398,199,199,0.9707602262496948,0.9707602262496948,0.9649122953414917,-0.005847930908203125,1,0,1,-1,0.370840847492218
breast_cancer,bias_only,logit_residual,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0,0,0,0,0.39363230764865875
breast_cancer,bias_only,logit_residual,44,cpu,398,199,199,0.9766082167625427,0.9707602262496948,0.9649122953414917,-0.005847930908203125,3,1,2,-1,0.38292263448238373
breast_cancer,provenance_only,none,42,cpu,398,199,199,0.9707602262496948,0.9473684430122375,0.9473684430122375,0.0,0,0,0,0,0.0
breast_cancer,provenance_only,none,43,cpu,398,199,199,0.9473684430122375,0.9298245906829834,0.9298245906829834,0.0,0,0,0,0,0.0
breast_cancer,provenance_only,none,44,cpu,398,199,199,0.9766082167625427,0.9649122953414917,0.9649122953414917,0.0,0,0,0,0,0.0
breast_cancer,provenance_only,nominal_residual_scores,42,cpu,398,199,199,0.9707602262496948,0.9473684430122375,0.9532163739204407,0.005847930908203125,1,1,0,1,0.2727738916873932
breast_cancer,provenance_only,nominal_residual_scores,43,cpu,398,199,199,0.9473684430122375,0.9298245906829834,0.9181286692619324,-0.011695921421051025,2,0,2,-2,0.27231577038764954
breast_cancer,provenance_only,nominal_residual_scores,44,cpu,398,199,199,0.9766082167625427,0.9649122953414917,0.9590643048286438,-0.0058479905128479,1,0,1,-1,0.27223148941993713
breast_cancer,provenance_only,logit_residual,42,cpu,398,199,199,0.9707602262496948,0.9473684430122375,0.9532163739204407,0.005847930908203125,1,1,0,1,0.32359008491039276
breast_cancer,provenance_only,logit_residual,43,cpu,398,199,199,0.9473684430122375,0.9298245906829834,0.9239766001701355,-0.0058479905128479,1,0,1,-1,0.3228495419025421
breast_cancer,provenance_only,logit_residual,44,cpu,398,199,199,0.9766082167625427,0.9649122953414917,0.9590643048286438,-0.0058479905128479,1,0,1,-1,0.32465289533138275
breast_cancer,trustworthiness_only,none,42,cpu,398,199,199,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0,0,0,0,0.0
breast_cancer,trustworthiness_only,none,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0,0,0,0,0.0
breast_cancer,trustworthiness_only,none,44,cpu,398,199,199,0.9766082167625427,0.9824561476707458,0.9824561476707458,0.0,0,0,0,0,0.0
breast_cancer,trustworthiness_only,nominal_residual_scores,42,cpu,398,199,199,0.9707602262496948,0.9649122953414917,0.9532163739204407,-0.011695921421051025,2,0,2,-2,0.3093723654747009
breast_cancer,trustworthiness_only,nominal_residual_scores,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,2,1,1,0,0.31538474559783936
breast_cancer,trustworthiness_only,nominal_residual_scores,44,cpu,398,199,199,0.9766082167625427,0.9824561476707458,0.9766082167625427,-0.005847930908203125,3,1,2,-1,0.31150077283382416
breast_cancer,trustworthiness_only,logit_residual,42,cpu,398,199,199,0.9707602262496948,0.9649122953414917,0.9590643048286438,-0.0058479905128479,1,0,1,-1,0.3693896383047104
breast_cancer,trustworthiness_only,logit_residual,43,cpu,398,199,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0,0,0,0,0.38213394582271576
breast_cancer,trustworthiness_only,logit_residual,44,cpu,398,199,199,0.9766082167625427,0.9824561476707458,0.9824561476707458,0.0,2,1,1,0,0.3792878985404968
breast_cancer,stratified,none,42,cpu,398,199,199,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0,0,0,0,0.0
breast_cancer,stratified,none,43,cpu,398,199,199,0.9473684430122375,0.9532163739204407,0.9532163739204407,0.0,0,0,0,0,0.0
breast_cancer,stratified,none,44,cpu,398,199,199,0.9766082167625427,0.9707602262496948,0.9707602262496948,0.0,0,0,0,0,0.0
breast_cancer,stratified,nominal_residual_scores,42,cpu,398,199,199,0.9707602262496948,0.9649122953414917,0.9707602262496948,0.005847930908203125,5,3,2,1,0.3214791864156723
breast_cancer,stratified,nominal_residual_scores,43,cpu,398,199,199,0.9473684430122375,0.9532163739204407,0.9473684430122375,-0.005847930908203125,3,1,2,-1,0.3245416432619095
breast_cancer,stratified,nominal_residual_scores,44,cpu,398,199,199,0.9766082167625427,0.9707602262496948,0.9766082167625427,0.0058479905128479,3,2,1,1,0.3141433894634247
breast_cancer,stratified,logit_residual,42,cpu,398,199,199,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,4,2,2,0,0.38135917484760284
breast_cancer,stratified,logit_residual,43,cpu,398,199,199,0.9473684430122375,0.9532163739204407,0.9415204524993896,-0.011695921421051025,2,0,2,-2,0.38866543769836426
breast_cancer,stratified,logit_residual,44,cpu,398,199,199,0.9766082167625427,0.9707602262496948,0.9766082167625427,0.0058479905128479,1,1,0,1,0.38136376440525055
iris,provenance_bias_coverage,none,42,cpu,105,52,52,0.9555555582046509,0.9111111164093018,0.9111111164093018,0.0,0,0,0,0,0.0
iris,provenance_bias_coverage,none,43,cpu,105,52,52,0.9777777791023254,0.9111111164093018,0.9111111164093018,0.0,0,0,0,0,0.0
iris,provenance_bias_coverage,none,44,cpu,105,52,52,0.9555555582046509,0.9333333373069763,0.9333333373069763,0.0,0,0,0,0,0.0
iris,provenance_bias_coverage,nominal_residual_scores,42,cpu,105,52,52,0.9555555582046509,0.9111111164093018,0.9111111164093018,0.0,0,0,0,0,0.4911370873451233
