dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss
wine,provenance_bias_coverage,nominal_residual_scores,45,0.5,124,62,0.9444444179534912,0.9629629850387573,0.9629629850387573,0.0,0.9657894736842105,0.9657894736842105,0.0,0.039542763321488025,0.3778572452289087,0,0,0,0,0.5,1.0,geometric,True,0.5295225381851196
wine,provenance_bias_coverage,nominal_residual_scores,46,0.5,124,62,0.9074074029922485,0.9444444179534912,0.9444444179534912,0.0,0.944516632016632,0.944516632016632,0.0,0.03193881335081877,0.2919164785632381,0,0,0,0,0.5,1.0,geometric,True,0.4642386734485626
wine,provenance_bias_coverage,logit_residual,42,0.5,124,62,0.9629629850387573,0.9629629850387573,0.9629629850387573,0.0,0.9619047619047619,0.9619047619047619,0.0,0.06322726220996291,0.04133867775952374,0,0,0,0,0.5,1.0,geometric,True,0.6092607378959656
wine,provenance_bias_coverage,logit_residual,43,0.5,124,62,0.9259259104728699,0.9259259104728699,0.9259259104728699,0.0,0.9265350877192983,0.9265350877192983,0.0,0.025286765010268598,0.02515670877915841,0,0,0,0,0.5,1.0,geometric,True,0.6216762065887451
wine,provenance_bias_coverage,logit_residual,44,0.5,124,62,0.9629629850387573,0.9444444179534912,1.0,0.05555558204650879,0.9443785248663298,1.0,0.05562147513367022,0.07544153045724938,0.0711208493621261,3,3,0,3,0.5,1.0,geometric,True,0.62455153465271
wine,provenance_bias_coverage,logit_residual,45,0.5,124,62,0.9444444179534912,0.9629629850387573,0.9629629850387573,0.0,0.9657894736842105,0.9657894736842105,0.0,0.039542763321488025,0.05092535305906225,0,0,0,0,0.5,1.0,geometric,True,0.6061320304870605
wine,provenance_bias_coverage,logit_residual,46,0.5,124,62,0.9074074029922485,0.9444444179534912,0.9444444179534912,0.0,0.944516632016632,0.944516632016632,0.0,0.03193881335081877,0.05094145955862822,0,0,0,0,0.5,1.0,geometric,True,0.6019635796546936
breast_cancer,provenance_bias_coverage,none,42,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.9682592716338122,0.9682592716338122,0.0,0.03621689792264972,0.03621689792264972,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,43,0.5,398,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0.942866688940862,0.942866688940862,0.0,0.0297901243494268,0.0297901243494268,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,44,0.5,398,199,0.9766082167625427,0.9824561476707458,0.9824561476707458,0.0,0.981329839502129,0.981329839502129,0.0,0.04053754450982077,0.04053754450982077,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,45,0.5,398,199,0.9707602262496948,0.9590643048286438,0.9590643048286438,0.0,0.9555629802873371,0.9555629802873371,0.0,0.032348211397204465,0.032348211397204465,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,46,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.968479262672811,0.968479262672811,0.0,0.027196045856029624,0.027196045856029624,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,nominal_residual_scores,42,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9590643048286438,-0.011695921421051025,0.9682592716338122,0.9558709677419355,-0.012388303891876729,0.03621689792264972,0.19770908564851997,4,1,3,-2,0.5,1.0,geometric,True,0.3142714947462082
breast_cancer,provenance_bias_coverage,nominal_residual_scores,43,0.5,398,199,0.9473684430122375,0.9473684430122375,0.9649122953414917,0.01754385232925415,0.942866688940862,0.9623015873015872,0.019434898360725206,0.0297901243494268,0.19964780340417784,3,3,0,3,0.5,1.0,geometric,True,0.3108743727207184
breast_cancer,provenance_bias_coverage,nominal_residual_scores,44,0.5,398,199,0.9766082167625427,0.9824561476707458,0.9766082167625427,-0.005847930908203125,0.981329839502129,0.9751814223512336,-0.006148417150895424,0.04053754450982077,0.20180108080133358,3,1,2,-1,0.5,1.0,geometric,True,0.2993922680616379
breast_cancer,provenance_bias_coverage,nominal_residual_scores,45,0.5,398,199,0.9707602262496948,0.9590643048286438,0.9649122953414917,0.0058479905128479,0.9555629802873371,0.9623015873015872,0.006738607014250109,0.032348211397204465,0.19069412158943755,3,2,1,1,0.5,1.0,geometric,True,0.3313452750444412
breast_cancer,provenance_bias_coverage,nominal_residual_scores,46,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.968479262672811,0.968479262672811,0.0,0.027196045856029624,0.19509264530494197,0,0,0,0,0.5,1.0,geometric,True,0.33203159272670746
breast_cancer,provenance_bias_coverage,logit_residual,42,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9590643048286438,-0.011695921421051025,0.9682592716338122,0.9558709677419355,-0.012388303891876729,0.03621689792264972,0.02878402861935353,2,0,2,-2,0.5,1.0,geometric,True,0.3795003890991211
breast_cancer,provenance_bias_coverage,logit_residual,43,0.5,398,199,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0.942866688940862,0.942866688940862,0.0,0.0297901243494268,0.034473046573282005,0,0,0,0,0.5,1.0,geometric,True,0.3829054683446884
breast_cancer,provenance_bias_coverage,logit_residual,44,0.5,398,199,0.9766082167625427,0.9824561476707458,0.9766082167625427,-0.005847930908203125,0.981329839502129,0.9751814223512336,-0.006148417150895424,0.04053754450982077,0.03250683608808015,3,1,2,-1,0.5,1.0,geometric,True,0.36877672374248505
breast_cancer,provenance_bias_coverage,logit_residual,45,0.5,398,199,0.9707602262496948,0.9590643048286438,0.9707602262496948,0.011695921421051025,0.9555629802873371,0.968479262672811,0.012916282385473932,0.032348211397204465,0.032569213220250526,2,2,0,2,0.5,1.0,geometric,True,0.39926064014434814
breast_cancer,provenance_bias_coverage,logit_residual,46,0.5,398,199,0.9707602262496948,0.9707602262496948,0.9707602262496948,0.0,0.968479262672811,0.968479262672811,0.0,0.027196045856029624,0.020570536105953496,0,0,0,0,0.5,1.0,geometric,True,0.39994001388549805
