dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss
synthetic,stratified,none,45,1.0,420,420,0.8222222328186035,0.8222222328186035,0.8222222328186035,0.0,0.8226239031022123,0.8226239031022123,0.0,0.1049107743634118,0.1049107743634118,0,0,0,0,0.5,1.0,geometric,True,0.0
synthetic,stratified,none,46,1.0,420,420,0.8277778029441833,0.8277778029441833,0.8277778029441833,0.0,0.8288401535040927,0.8288401535040927,0.0,0.12783047623104518,0.12783047623104518,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,42,0.2,398,79,0.9707602262496948,0.9298245906829834,0.9298245906829834,0.0,0.9223668280871671,0.9223668280871671,0.0,0.03472706797527291,0.03472706797527291,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,43,0.2,398,79,0.9473684430122375,0.9064327478408813,0.9064327478408813,0.0,0.8937888198757764,0.8937888198757764,0.0,0.039729668383012756,0.039729668383012756,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,44,0.2,398,79,0.9766082167625427,0.9532163739204407,0.9532163739204407,0.0,0.9506493506493507,0.9506493506493507,0.0,0.04983770185046726,0.04983770185046726,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,45,0.2,398,79,0.9707602262496948,0.9356725215911865,0.9356725215911865,0.0,0.9285470085470086,0.9285470085470086,0.0,0.03373501733032585,0.03373501733032585,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,provenance_bias_coverage,none,46,0.2,398,79,0.9707602262496948,0.9649122953414917,0.9649122953414917,0.0,0.962044983722995,0.962044983722995,0.0,0.040393534111000634,0.040393534111000634,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,42,0.2,398,79,0.9707602262496948,0.9239766001701355,0.9239766001701355,0.0,0.9168692270296548,0.9168692270296548,0.0,0.035598709917905036,0.035598709917905036,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,43,0.2,398,79,0.9473684430122375,0.9473684430122375,0.9473684430122375,0.0,0.9420055017522704,0.9420055017522704,0.0,0.038077414732927424,0.038077414732927424,0,0,0,0,0.5,1.0,geometric,True,0.0
breast_cancer,bias_only,none,44,0.2,398,79,0.9766082167625427,0.9707602262496948,0.9707602262496948,0.0,0.9688830658368818,0.9688830658368818,0.0,0.045129201565569606,0.045129201565569606,0,0,0,0,0.5,1.0,geometric,True,0.0
