dataset,policy,adapter_mode,seed,capacity_fraction,initial_cases,retained_cases,pre_maint_acc,post_retrieval_acc,post_adapted_acc,acc_delta,f1_retrieval,f1_adapted,f1_delta,ece_retrieval,ece_adapted,total_flips,correct_flips,harmful_flips,net_flip_benefit,alpha,smoothing,trust_mode,protect_cohorts,adapter_train_loss,ablation_type,ablation_var
synthetic,provenance_bias_coverage,none,45,0.5,420,210,0.8222222328186035,0.7833333611488342,0.7833333611488342,0.0,0.7831565135258077,0.7831565135258077,0.0,0.11782311913039949,0.11782311913039949,0,0,0,0,0.75,1.0,geometric,True,0.0,alpha_weight,alpha=0.75
synthetic,provenance_bias_coverage,none,46,0.5,420,210,0.8277778029441833,0.8388888835906982,0.8388888835906982,0.0,0.8375614545744918,0.8375614545744918,0.0,0.19138549003336164,0.19138549003336164,0,0,0,0,0.75,1.0,geometric,True,0.0,alpha_weight,alpha=0.75
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8166666626930237,0.8166666626930237,0.0,0.8124546952998246,0.8124546952998246,0.0,0.06716454194651708,0.06716454194651708,0,0,0,0,1.0,1.0,geometric,True,0.0,alpha_weight,alpha=1.0
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.7611111402511597,0.7611111402511597,0.0,0.7575856399385811,0.7575856399385811,0.0,0.06242516305711534,0.06242516305711534,0,0,0,0,1.0,1.0,geometric,True,0.0,alpha_weight,alpha=1.0
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.8444444537162781,0.8444444537162781,0.0,0.8441908842523596,0.8441908842523596,0.0,0.09119463248385326,0.09119463248385326,0,0,0,0,1.0,1.0,geometric,True,0.0,alpha_weight,alpha=1.0
synthetic,provenance_bias_coverage,none,45,0.5,420,210,0.8222222328186035,0.7611111402511597,0.7611111402511597,0.0,0.7604895070817598,0.7604895070817598,0.0,0.06745540151993436,0.06745540151993436,0,0,0,0,1.0,1.0,geometric,True,0.0,alpha_weight,alpha=1.0
synthetic,provenance_bias_coverage,none,46,0.5,420,210,0.8277778029441833,0.7444444298744202,0.7444444298744202,0.0,0.7408309606664557,0.7408309606664557,0.0,0.07640913559330834,0.07640913559330834,0,0,0,0,1.0,1.0,geometric,True,0.0,alpha_weight,alpha=1.0
synthetic,provenance_bias_coverage,none,42,0.5,420,210,0.8333333134651184,0.8222222328186035,0.8222222328186035,0.0,0.8143371212121212,0.8143371212121212,0.0,0.1280182808637619,0.1280182808637619,0,0,0,0,0.5,1.0,geometric,True,0.0,protection_floor,protect_cohorts=True
synthetic,provenance_bias_coverage,none,43,0.5,420,210,0.8333333134651184,0.8055555820465088,0.8055555820465088,0.0,0.8056117409278967,0.8056117409278967,0.0,0.1018708881404665,0.1018708881404665,0,0,0,0,0.5,1.0,geometric,True,0.0,protection_floor,protect_cohorts=True
synthetic,provenance_bias_coverage,none,44,0.5,420,210,0.9111111164093018,0.8500000238418579,0.8500000238418579,0.0,0.8496035173483744,0.8496035173483744,0.0,0.17047024915615716,0.17047024915615716,0,0,0,0,0.5,1.0,geometric,True,0.0,protection_floor,protect_cohorts=True
